"","Bacus1.cases","Bacus1","Bacus1"
"203",1533.57028496571,2343.73361277615,2105.04402451004
"204",1536.81177361708,2342.71143403472,2117.85313589786
"205",1546.45633293256,2348.54468239952,2140.01136578616
"206",1544.60201268202,2354.26973677218,2149.4053190586
"207",1550.84188208707,2334.77922485754,2160.90438952385
"208",1549.96053101227,2288.96156362109,2183.18393759289
"209",1530.80991288036,2287.78686577218,2202.9388346162
"210",1537.13403256147,2308.49710044086,2218.48165733921
"211",1540.51148073419,2314.63562354809,2222.4119086692
"212",1550.92007256312,2282.00073515119,2240.97231282907
"213",1562.8601734345,2247.38279097902,2246.84125676283
"214",1553.46400747998,2244.28542737918,2295.85408698842
"215",1563.57821313399,2249.99394465342,2301.9401166196
"216",1554.92449303707,2252.23308475845,2277.05541385983
"217",1512.71321056943,2245.4559376947,2251.43924694439
"218",1494.07501732849,2189.12345331067,2239.22959738521
"219",1503.70037963972,2162.64312860176,2239.04346016542
"220",1520.10544384238,2131.31140045575,2227.0324952985
"221",1498.87153650922,2114.25790656211,2186.8633077137
"222",1497.90889337929,2130.45927062393,2161.55333872203
"223",1511.97534582264,2136.98948786899,2154.03318340864
"224",1491.73987565786,2138.40458234098,2140.78732701246
"225",1478.17546662113,2135.17187190398,2142.24066408527
"226",1464.98512893725,2143.79103222906,2147.88796424349
"227",1464.26269254058,2154.90624908911,2146.76747323328
"228",1461.85143296152,2181.60023154939,2152.86132240854
"229",1456.20404643197,2203.92063753582,2156.99976116386
"230",1457.39004139318,2204.19638055854,2172.11071787866
"231",1462.28931402533,2185.18337857277,2208.84376754752
"232",1470.90709218383,2227.36557323093,2225.9056256608
"233",1467.6977827212,2240.16090157648,2221.3169061672
"234",1463.82706479251,2256.3259443872,2208.475181194
"235",1461.18565721126,2282.00466633293,2231.23189038275
"236",1447.96927513288,2283.0684297067,2241.51588971243
"237",1431.75244005638,2281.22662836355,2240.42113806598
"238",1429.62946834939,2272.09142074202,2237.40322299143
"239",1439.26360862962,2259.43831169697,2244.44496638096
"240",1449.07353916645,2256.58804398468,2242.69657650989
"241",1448.01350455717,2254.79960774529,2245.35665135022
"242",1452.49780213171,2266.80842746229,2227.89213428174
"243",1442.87108930503,2306.78568425547,2223.76836786187
"244",1411.64633499367,2318.71283947447,2222.70905065108
"245",1408.48738393856,2330.8857014184,2225.91451243597
"246",1436.19296197926,2292.05631339142,2218.01146318456
"247",1449.96720540833,2288.1273802846,2182.64581617117
"248",1453.60929929846,2291.70385310612,2183.63000898521
"249",1464.10575481837,2281.32805717165,2218.63324126364
"250",1462.06729709889,2291.39208404747,2223.29344760763
"251",1467.98922695491,2304.93253965174,2219.29965527727
"252",1481.2029871535,2313.33057640619,2236.30062467851
"253",1489.29483779961,2318.39262803876,2222.51066328304
