"","wm_m1_acus.cases","wm_m1_acus","wm_m1_acus"
"235",5.74845018121196,5.50533210613909,5.67099711219003
"236",5.64614237390133,5.54990368779635,5.77684610351241
"237",5.55792963041881,5.60141286623016,5.68907760666557
"238",5.57775397315693,5.65147613541819,5.76471888097042
"239",5.68482637845709,5.64875349715371,5.71890243936241
"240",5.75627981504453,5.61892242158033,5.77790033869411
"241",5.84981293844846,5.52628601272534,5.73868351203456
"242",5.90146809151414,5.51137475997358,5.72765855311814
"243",5.6293795044877,5.50731848856718,5.76986377327275
"244",5.56904412064837,5.72591561271031,5.66906551032628
"245",5.52786748322292,5.64100568386892,5.50765055478822
"246",5.46954121175452,5.72158715244493,5.46539611882893
"247",5.44888883116844,5.77945492224756,5.46321908369712
"248",5.36264779621364,5.57599436529554,5.58969991077113
"249",5.34164222487397,5.45800401723712,5.56441372778342
"250",5.36403330519101,5.42827470106545,5.71040992670432
"251",5.29987486460282,5.50888113659643,5.69031280548473
"252",5.31881671869857,5.67748674158047,5.6138827806402
"253",5.53830645263059,5.76805089248961,5.75803861182968
