"","YT1.cases","YT1","YT1"
"52",3343.73557135289,4336.80993515584,6745.78069642567
"53",3383.63343829849,4404.81548173073,7010.42076991965
"54",3401.12253173352,4486.1559811352,7125.15890150706
"55",3379.02563345137,4562.37231041844,7032.03783135506
"56",3313.44828123131,4606.80858985723,6817.64109911942
"57",3232.30028039383,4647.24883040249,6617.98492599634
"58",3184.0716651208,4691.57356253672,6496.87526212744
"59",3191.24477745242,4740.41639018269,6424.35476047717
"60",3242.12600468771,4761.32700054027,6362.91635774138
"61",3313.43117681982,4737.41610695823,6333.92811685416
"62",3391.38677858757,4672.06222331373,6374.46690478287
"63",3465.07912653382,4599.4424497854,6457.27565239856
"64",3523.86031563782,4561.48535452592,6500.6435668225
"65",3560.47173169956,4568.52748613785,6460.59376619006
"66",3560.85861255018,4597.46026459487,6377.08604656075
"67",3513.65553178,4609.59148546412,6318.34294232067
"68",3437.6520672273,4605.90214655754,6308.26577553394
"69",3391.82537278994,4587.85276928142,6327.91238960923
"70",3428.68192937554,4576.51193691705,6360.73557308581
"71",3534.34966503824,4589.14509300552,6398.43803673906
"72",3641.00065705987,4641.7179884104,6418.05986562416
"73",3693.23970529643,4732.93503544582,6394.84124173704
"74",3687.50923164422,4836.12484895487,6334.39468098426
"75",3654.0278375992,4894.07243754961,6262.56416410609
"76",3617.70119367153,4877.99916380746,6195.80709388551
"77",3583.46009634785,4812.51523641592,6147.36567625177
"78",3542.41797653995,4744.30739264793,6142.51456545837
"79",3490.91643827438,4701.91495614219,6196.14536121598
"80",3442.05389903271,4692.64649196042,6289.60749216518
"81",3409.59238462722,4679.61881193419,6391.57585177111
"82",3391.57336486378,4643.17221451341,6481.84875478072
"83",3385.86729675577,4568.12462664558,6545.27173735987
"84",3402.47118391357,4486.80606467688,6568.94734081174
"85",3447.30298329401,4443.22678493636,6558.87366805447
"86",3505.09007766577,4436.26486883777,6546.60828976745
"87",3544.08309261568,4442.11421660014,6561.37532795731
"88",3542.28320135291,4433.71433322125,6584.57545059885
"89",3510.65141468433,4438.65140913924,6553.05640033954
"90",3482.54424054981,4483.756438959,6438.42275565194
"91",3473.74649721448,4577.55828283757,6301.64487874665
"92",3467.0989819565,4677.17705682346,6238.72695347014
"93",3446.76557597003,4761.47322176879,6290.75962794582
"94",3429.99619913518,4811.84608073978,6422.47174566616
"95",3446.82914882828,4818.18936600824,6566.95855375013
"96",3493.81473336927,4785.20521481426,6673.9362035314
"97",3527.12260651357,4726.12886682967,6723.63050825101
"98",3506.90327632426,4662.23043483444,6711.33424063601
"99",3445.50533203163,4636.03381144151,6647.6467249176
"100",3395.43561345012,4685.94499188271,6587.84394758669
"101",3389.19751247177,4808.07766420694,6609.13113869602
"102",3419.40823134367,4912.4374288912,6714.24079183726
"103",3465.19427068287,4949.45182641799,6803.52562136533
"104",3507.87226269491,4919.42086045907,6783.60130367149
"105",3532.91978262355,4869.64043725798,6665.38676490494
"106",3533.6563370567,4827.42144664929,6530.81852588549
"107",3513.2285370558,4801.32585924013,6443.6913417239
"108",3472.89669584978,4790.45996784475,6417.1013301865
"109",3416.76572290765,4819.230460845,6434.35073914329
"110",3360.23257656822,4877.96752236584,6474.88697880578
"111",3333.00364296643,4913.30018715032,6529.02942817992
"112",3351.75279809143,4912.32230453758,6590.21017584729
"113",3398.30492272954,4874.26880932177,6638.37554460077
