"","YT.cases","YT","YT"
"128",8511.18195605592,14824.3389453856,13917.1178952434
"129",8640.54361549422,14799.2753146453,13728.8102100653
"130",8749.95592523878,14771.3634645468,13534.8596437549
"131",8829.14875666388,14736.2347784094,13281.34610346
"132",8868.78242243793,14568.6720636256,13048.9067285142
"133",8871.18886081991,14386.255614726,12864.0410538476
"134",8851.82615273656,14244.3697515473,12673.3829128116
"135",8815.41216162861,14086.5962014267,12589.9169603734
"136",8770.01405089035,13938.6194116956,12694.1013484461
"137",8710.9421235578,13805.8432182039,12935.4124153549
"138",8639.36799699895,13771.388448446,13311.8830839703
"139",8577.94001212606,13790.9438090116,13668.7608256106
"140",8539.70144162511,13838.1374452427,13835.6317484162
"141",8500.60006787269,13863.4687677152,13796.911580463
"142",8455.8784711517,13931.1413195045,13654.0969774084
"143",8435.28324630512,13988.9645305271,13520.7099732697
"144",8478.09901180853,14053.7526480835,13445.5587468874
"145",8581.27149965405,14147.021267464,13422.6828624898
"146",8701.34703906334,14312.7111170647,13400.2762147835
"147",8788.61970163284,14516.1603838063,13286.0307089044
"148",8824.6773399161,14694.9750860121,13133.8565331989
"149",8829.50044317803,14743.2585133179,13021.3570378085
"150",8817.73531126202,14710.3276993992,13047.8353204405
"151",8777.96051392761,14608.9289234408,13192.3724765443
"152",8722.24328939452,14470.1120898028,13363.8905853475
"153",8673.47943959444,14373.9259027555,13505.5836719383
"154",8633.27239239003,14330.5229822794,13628.5973022107
"155",8583.15792845961,14338.3610205973,13753.2918734573
"156",8514.18410891263,14311.2213138476,13939.854857306
"157",8443.10389092107,14248.4954181699,14110.3409969348
"158",8388.83291835975,14122.2787655573,14154.44793627
"159",8373.55238234571,13973.2490295419,14051.8349993587
"160",8396.76729879119,13869.4581460219,13879.7503877735
"161",8418.84037584401,13861.5577300788,13711.2498341242
"162",8424.64421847547,13893.0055234807,13674.4606277786
"163",8433.49251239939,13921.1191956967,13732.7510998241
"164",8465.97667907152,13896.3556545657,13786.443701171
"165",8505.64588759284,13811.8532247291,13796.2660327651
"166",8536.22497590263,13708.3904753893,13744.4283987555
"167",8557.63467531591,13630.8465571723,13633.8128195541
"168",8578.68356575419,13703.9517588816,13446.6259162835
"169",8591.56126739182,13810.6257351146,13135.5979564831
"170",8591.80465054656,13892.287447009,12772.3709569868
"171",8601.84400725028,13899.4636039572,12475.8430270529
"172",8641.73504643754,13837.2868063086,12348.0630490286
"173",8692.08499290897,13724.9877972072,12444.8928117139
"174",8706.8795192652,13647.279849066,12658.8650936689
"175",8653.00931604498,13672.5252561353,12851.3132048253
"176",8587.90593969628,13763.1992673821,12951.1203435722
"177",8594.63996809233,13901.8487108484,12982.2065061918
"178",8694.13717125636,14040.459187708,13036.9923219846
"179",8830.54321695029,14184.2786283022,13149.2985420516
"180",8933.97867318364,14373.627597273,13299.8178231129
"181",9007.83748049142,14508.8900135651,13467.6887168643
"182",9100.2374143104,14647.6727705168,13647.5340988513
"183",9213.106323437,14795.2395671467,13821.541859239
