"","wm_m2.cases","wm_m2","wm_m2"
"38",15.6681171362098,20.2972867812733,13.9764707638005
"39",15.7686965571423,20.5529238572256,14.2836371172862
"40",15.9888879370437,20.7279164577177,14.5666622326739
"41",16.0987519433258,20.6930638415184,14.746066313988
"42",15.8796416858752,20.5828116412359,14.6333091939747
"43",15.5287013538788,20.4697185370346,14.391321707023
"44",15.2912845007159,20.4316474620183,14.334848007784
"45",15.3431531415891,20.2023316303038,14.2883885211408
"46",15.646254518287,19.8598042599392,14.0682859953554
"47",15.9834435179468,19.8037180209942,13.8621849025932
"48",16.1047781386424,20.2831237510525,13.9332139939406
"49",15.9500833325227,20.8722582641914,14.2862193877785
"50",15.747538401839,21.2251652924501,14.5753241733328
"51",15.7417824678329,21.043970045527,14.488002881293
"52",15.8872313932387,20.7120112734386,14.1190600664735
"53",15.9182241786083,20.5144276901404,13.7814107025722
"54",15.759525365743,20.4777286105503,13.766407826253
"55",15.5703098820827,20.5042678180322,14.1053724130009
"56",15.4860155339189,20.5776219429389,14.5004829722768
"57",15.5267327836432,20.5078624853597,14.6833872654672
"58",15.662415011808,20.3382815150224,14.590262636519
"59",15.8327103397983,20.2035941766852,14.359180126409
"60",15.9800312156981,20.1252036472726,14.2702373999096
"61",16.0139028853488,20.2172554369793,14.348411697039
"62",15.8476209656287,20.3898480925067,14.3517757029413
"63",15.5763390863285,20.3904446212396,14.188540325412
"64",15.4009803295743,20.3282910467389,14.0514938800067
"65",15.3792018810694,20.2926415555903,14.1429372411833
"66",15.4098119172517,20.3550872900811,14.371124869863
"67",15.4355439704337,20.5750965364235,14.4684823716506
"68",15.495302366498,20.728569370725,14.3593192306484
"69",15.5918635956775,20.7043920518683,14.2207464463338
"70",15.7438277536403,20.5832937900467,14.1867977496672
"71",15.9050521991775,20.3314583605533,14.2227611698875
"72",15.99059127211,20.2920598349762,14.2057817954096
"73",15.8252993433314,20.4041072709221,14.2008646713491
"74",15.4563805213422,20.5403410959952,14.2933488012724
"75",15.2195567268856,20.5227527314293,14.3911061598974
"76",15.2867809210298,20.4761173452213,14.3872327692799
"77",15.5771365917805,20.4171128023557,14.3353674593911
"78",15.8013482724124,20.2957541689012,14.3318704166834
"79",15.8542916779627,20.1276010057708,14.2804660028189
"80",15.8142679804937,20.1032075775873,14.1554773596486
"81",15.7859774308265,20.2914566388073,14.0648702391092
"82",15.8397373994429,20.5622429333667,14.0988128537914
"83",15.8746665603708,20.7846675103819,14.1488757400701
"84",15.8517900169861,20.7002282665683,14.1629083536871
"85",15.7994475632157,20.5120147019771,14.2315282416103
"86",15.7182478185851,20.4330864841355,14.3034352691688
"87",15.668912716575,20.4458215763573,14.3041133946188
"88",15.6079571707812,20.5432102045174,14.2347205010458
"89",15.4952703790672,20.7444171602181,14.1828452120541
"90",15.4561244068405,20.7834394251361,14.2571085212935
"91",15.5684768064098,20.5700090692695,14.4660937654151
"92",15.7455041267981,20.3686361785756,14.5668407154644
"93",15.841862691952,20.3487790691845,14.3653191060942
"94",15.7923400247615,20.4997492976142,14.1021381346774
"95",15.6992478408619,20.5457069427397,13.9879895321373
"96",15.6918704884608,20.2660117886592,14.023075054587
"97",15.7522081457325,20.0960982417285,14.1220112905776
"98",15.7545497219955,20.0947947099323,14.2154530289833
"99",15.6048756620563,20.2396075110036,14.2992031786236
"100",15.4679970653894,20.3829960864921,14.3634357836563
"101",15.5720594429261,20.4604396096358,14.3934099933699
"102",15.8202887716007,20.5818376748215,14.2629677963962
"103",15.9597518596481,20.6637680458589,14.0194221875264
"104",15.8844732769749,20.6655270642086,14.0260730899207
"105",15.6601806787288,20.539445984438,14.3171484301974
"106",15.4859808375118,20.2945934433207,14.5375544393841
"107",15.495039954872,19.9540791700334,14.5042203141084
"108",15.5590380620003,20.0268769195774,14.3525481522063
